Date,AZO,BKNG,CMG,NVR,ORLY
2000-10-26,343200,270800,,26200,398200
2000-10-27,361100,335883,,36100,227000
2000-10-30,542900,221550,,39900,642800
2000-10-31,645800,300867,,53900,708400
2000-11-01,371000,653633,,38400,532800
2000-11-02,456900,1292367,,30000,402000
2000-11-03,326900,2372867,,47100,333800
2000-11-06,230800,681367,,66500,495600
2000-11-07,176500,479350,,27200,96800
2000-11-08,236200,1688717,,26100,554400
2000-11-09,357200,592183,,29000,612800
2000-11-10,413100,430533,,22200,243000
2000-11-13,325500,402783,,25300,188600
2000-11-14,303600,522167,,25500,219600
2000-11-15,161400,900800,,21600,226600
2000-11-16,289700,793050,,29500,385200
2000-11-17,285500,432850,,37500,556200
2000-11-20,319300,647317,,27700,289400
2000-11-21,481300,375583,,35200,342000
2000-11-22,282900,389217,,39200,330200
2000-11-24,102500,348083,,36100,184200
2000-11-27,354500,440950,,38400,566400
2000-11-28,327300,199550,,36400,514200
2000-11-29,386900,411350,,25700,495000
2000-11-30,358600,241900,,61700,311200
2000-12-01,180700,179517,,36100,268800
2000-12-04,366100,284433,,33000,387400
2000-12-05,269800,633417,,65400,358000
2000-12-06,353000,472583,,20700,155800
2000-12-07,265400,411033,,23100,206400
2000-12-08,308300,593383,,93300,570600
2000-12-11,404500,561567,,106700,1285000
2000-12-12,514400,358050,,60800,2484400
2000-12-13,503900,453067,,35600,2002200
2000-12-14,731100,474250,,19700,1498000
2000-12-15,872300,639250,,26300,4383200
2000-12-18,1292200,516100,,81600,1121800
2000-12-19,1108200,490433,,32800,1389000
2000-12-20,442500,475483,,23500,621800
2000-12-21,329100,803217,,30800,4163400
2000-12-22,328200,617800,,28500,2689200
2000-12-26,377800,460783,,86200,1763400
2000-12-27,818300,1131017,,101400,1006800
2000-12-28,758700,598750,,47100,1207000
2000-12-29,697300,983717,,82700,2196200
2001-01-02,401100,396550,,131300,1717600
2001-01-03,658400,460717,,82200,1884600
2001-01-04,642300,531250,,98600,928600
2001-01-05,554200,343950,,101200,580600
2001-01-08,530200,304950,,233700,521000
2001-01-09,394600,357150,,113400,415600
2001-01-10,425700,750450,,78800,1181000
2001-01-11,187500,1228733,,60800,338000
2001-01-12,549200,925850,,136800,371400
2001-01-16,832700,918950,,126200,536600
2001-01-17,724800,1325500,,72900,1353200
2001-01-18,441700,891633,,47500,787800
2001-01-19,586600,435033,,109500,988800
2001-01-22,1468300,304667,,122100,365800
2001-01-23,1345900,330900,,143200,2121400
2001-01-24,650600,464483,,51700,1431800
2001-01-25,252100,587983,,60600,1082600
2001-01-26,1128900,306717,,36700,240400
2001-01-29,320500,451967,,66500,662800
2001-01-30,224900,543900,,28700,630200
2001-01-31,2294700,660333,,55600,599200
2001-02-01,517300,202333,,40900,442800
2001-02-02,675500,229417,,65500,277600
2001-02-05,579500,200200,,140900,504400
2001-02-06,556500,276633,,218900,363000
2001-02-07,364300,138317,,85300,584800
2001-02-08,425100,627450,,90300,522400
2001-02-09,282200,329517,,83400,1008600
2001-02-12,559500,109983,,101600,2382400
2001-02-13,382600,135700,,71600,373200
2001-02-14,701400,147633,,72600,237200
2001-02-15,443200,424917,,97100,208800
2001-02-16,340300,385383,,71900,186800
2001-02-20,182900,303817,,77900,476200
2001-02-21,335200,264933,,95300,581600
2001-02-22,452300,399067,,60500,419000
2001-02-23,387700,1106233,,86100,291800
2001-02-26,377700,496667,,120400,284200
2001-02-27,224500,174217,,84700,95200
2001-02-28,373500,202717,,58700,443200
2001-03-01,1198200,347683,,73300,185200
2001-03-02,583100,178817,,108700,160200
2001-03-05,455100,122250,,119100,157200
2001-03-06,494800,188083,,127700,334200
2001-03-07,406300,120100,,56400,182600
2001-03-08,1280800,115867,,74800,278400
2001-03-09,321200,242117,,33400,364800
2001-03-12,1458200,157233,,74600,227000
2001-03-13,1058100,171100,,52400,415800
2001-03-14,420900,94767,,92400,456800
2001-03-15,552300,110900,,70600,441000
2001-03-16,453500,168600,,116500,521800
2001-03-19,236100,221800,,105100,100800
2001-03-20,305200,174867,,56200,253800
2001-03-21,295900,142900,,76700,324400
2001-03-22,845200,304100,,96700,430000
2001-03-23,437600,155483,,53800,232000
2001-03-26,193300,68100,,57000,361400
2001-03-27,226800,194833,,91000,523200
2001-03-28,392600,104583,,57100,395800
2001-03-29,406400,192367,,91900,186000
2001-03-30,2187600,314017,,126900,429200
2001-04-02,230400,987900,,149500,256600
2001-04-03,216300,257483,,79700,305600
2001-04-04,227400,130933,,105100,259000
2001-04-05,260500,199817,,55700,281600
2001-04-06,216400,115467,,128200,433400
2001-04-09,467800,214200,,77900,137000
2001-04-10,657900,241750,,60400,219400
2001-04-11,629100,339567,,68000,238200
2001-04-12,810300,119050,,42800,124000
2001-04-16,298000,161317,,88000,218800
2001-04-17,199000,246133,,87100,180000
2001-04-18,487700,356417,,92200,345400
2001-04-19,708100,689033,,55200,320800
